Demand for California (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389936&sdid=EBA.CAL-ALL.D.H
04:20:22 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.CAL-ALL.D.H megawatthours
06/24/2022 12H,24882
06/24/2022 11H,25915
06/24/2022 10H,27023
06/24/2022 09H,28690
06/24/2022 08H,30877
06/24/2022 07H,33850
06/24/2022 06H,36617
06/24/2022 05H,38208
06/24/2022 04H,39894
06/24/2022 03H,40700
06/24/2022 02H,40325
06/24/2022 01H,39236
06/24/2022 00H,38264
06/23/2022 23H,37242
06/23/2022 22H,35694
06/23/2022 21H,33385
06/23/2022 20H,32096
06/23/2022 19H,31346
06/23/2022 18H,30504
06/23/2022 17H,30000
06/23/2022 16H,28166
06/23/2022 15H,26682
06/23/2022 14H,25487
06/23/2022 13H,25036
06/23/2022 12H,25243
06/23/2022 11H,25674
06/23/2022 10H,26699
06/23/2022 09H,28236
06/23/2022 08H,30124
06/23/2022 07H,32827
06/23/2022 06H,35065
06/23/2022 05H,36180
06/23/2022 04H,36940
06/23/2022 03H,37641
06/23/2022 02H,37972
06/23/2022 01H,37667
06/23/2022 00H,36881
06/22/2022 23H,35365
06/22/2022 22H,33825
06/22/2022 21H,32402
06/22/2022 20H,31760
06/22/2022 19H,31006
06/22/2022 18H,30026
06/22/2022 17H,28533
06/22/2022 16H,27728
06/22/2022 15H,26279
06/22/2022 14H,25290
06/22/2022 13H,24822
06/22/2022 12H,25037
06/22/2022 11H,25953
06/22/2022 10H,27065
06/22/2022 09H,28604
06/22/2022 08H,30688
06/22/2022 07H,33662
06/22/2022 06H,36552
06/22/2022 05H,38046
06/22/2022 04H,39246
06/22/2022 03H,40037
06/22/2022 02H,39623
06/22/2022 01H,38375
06/22/2022 00H,36702
06/21/2022 23H,34998
06/21/2022 22H,33217
06/21/2022 21H,31754
06/21/2022 20H,30486
06/21/2022 19H,29378
06/21/2022 18H,28340
06/21/2022 17H,27960
06/21/2022 16H,26937
06/21/2022 15H,25623
06/21/2022 14H,24233
06/21/2022 13H,23525
06/21/2022 12H,23633
06/21/2022 11H,24111
06/21/2022 10H,25280
06/21/2022 09H,26718
06/21/2022 08H,28710
06/21/2022 07H,31475
06/21/2022 06H,34089
06/21/2022 05H,35455
06/21/2022 04H,36547
06/21/2022 03H,37070
06/21/2022 02H,36425
06/21/2022 01H,34639
06/21/2022 00H,32463
06/20/2022 23H,30405
06/20/2022 22H,28534
06/20/2022 21H,27575
06/20/2022 20H,26745
06/20/2022 19H,26160
06/20/2022 18H,25824
06/20/2022 17H,25499
06/20/2022 16H,24526
06/20/2022 15H,23119
06/20/2022 14H,21969
06/20/2022 13H,21160
06/20/2022 12H,20936
06/20/2022 11H,21429
06/20/2022 10H,22013
06/20/2022 09H,23066
06/20/2022 08H,24361
06/20/2022 07H,26131
06/20/2022 06H,27593
06/20/2022 05H,27802
06/20/2022 04H,27561
06/20/2022 03H,26912
06/20/2022 02H,25406
06/20/2022 01H,24161
06/20/2022 00H,22367
06/19/2022 23H,20785
06/19/2022 22H,19869
06/19/2022 21H,19186
06/19/2022 20H,19360
06/19/2022 19H,19705
06/19/2022 18H,20468
06/19/2022 17H,21293
06/19/2022 16H,21427
