Demand for Southwest (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389946&sdid=EBA.SW-ALL.D.H
04:14:53 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SW-ALL.D.H megawatthours
07/1/2022 21H,19896
07/1/2022 20H,19108
07/1/2022 19H,18170
07/1/2022 18H,17059
07/1/2022 17H,15959
07/1/2022 16H,14988
07/1/2022 15H,13939
07/1/2022 14H,13038
07/1/2022 13H,12657
07/1/2022 12H,12637
07/1/2022 11H,12733
07/1/2022 10H,13129
07/1/2022 09H,13699
07/1/2022 08H,14435
07/1/2022 07H,15294
07/1/2022 06H,16645
07/1/2022 05H,17964
07/1/2022 04H,19167
07/1/2022 03H,19882
07/1/2022 02H,20513
07/1/2022 01H,21049
07/1/2022 00H,20945
06/30/2022 23H,20478
06/30/2022 22H,20045
06/30/2022 21H,19208
06/30/2022 20H,18280
06/30/2022 19H,17187
06/30/2022 18H,16160
06/30/2022 17H,15304
06/30/2022 16H,14574
06/30/2022 15H,13921
06/30/2022 14H,13326
06/30/2022 13H,12978
06/30/2022 12H,12849
06/30/2022 11H,12752
06/30/2022 10H,12997
06/30/2022 09H,13411
06/30/2022 08H,13877
06/30/2022 07H,9206
06/30/2022 06H,9952
06/30/2022 05H,10653
06/30/2022 04H,11358
06/30/2022 03H,11806
06/30/2022 02H,12118
06/30/2022 01H,12436
06/30/2022 00H,12529
06/29/2022 23H,12621
06/29/2022 22H,12581
06/29/2022 21H,12131
06/29/2022 20H,11806
06/29/2022 19H,11177
06/29/2022 18H,10524
06/29/2022 17H,9881
06/29/2022 16H,9328
06/29/2022 15H,8905
06/29/2022 14H,8444
06/29/2022 13H,8243
06/29/2022 12H,8170
06/29/2022 11H,8190
06/29/2022 10H,8411
06/29/2022 09H,8740
06/29/2022 08H,9172
06/29/2022 07H,9771
06/29/2022 06H,10576
06/29/2022 05H,11440
06/29/2022 04H,12105
06/29/2022 03H,12514
06/29/2022 02H,12844
06/29/2022 01H,13024
06/29/2022 00H,12911
06/28/2022 23H,12425
06/28/2022 22H,11979
06/28/2022 21H,11381
06/28/2022 20H,10819
06/28/2022 19H,10227
06/28/2022 18H,9619
06/28/2022 17H,9106
06/28/2022 16H,8755
06/28/2022 15H,8458
06/28/2022 14H,8095
06/28/2022 13H,7878
06/28/2022 12H,7804
06/28/2022 11H,7774
06/28/2022 10H,7906
06/28/2022 09H,8192
06/28/2022 08H,8617
06/28/2022 07H,9135
06/28/2022 06H,9834
06/28/2022 05H,10631
06/28/2022 04H,11252
06/28/2022 03H,11501
06/28/2022 02H,11681
06/28/2022 01H,11667
06/28/2022 00H,11449
06/27/2022 23H,11209
06/27/2022 22H,10788
06/27/2022 21H,10378
06/27/2022 20H,10057
06/27/2022 19H,9489
06/27/2022 18H,8980
06/27/2022 17H,8555
06/27/2022 16H,8230
06/27/2022 15H,8016
06/27/2022 14H,7743
06/27/2022 13H,7579
06/27/2022 12H,7368
06/27/2022 11H,7275
06/27/2022 10H,7402
06/27/2022 09H,7618
06/27/2022 08H,7888
06/27/2022 07H,8318
06/27/2022 06H,8976
06/27/2022 05H,9527
06/27/2022 04H,10036
06/27/2022 03H,10386
06/27/2022 02H,10805
06/27/2022 01H,11483
06/27/2022 00H,11591
06/26/2022 23H,11163
06/26/2022 22H,10815
06/26/2022 21H,10530
06/26/2022 20H,10157
06/26/2022 19H,9641
06/26/2022 18H,9170
06/26/2022 17H,8795
06/26/2022 16H,8349
06/26/2022 15H,8023
06/26/2022 14H,7590
06/26/2022 13H,7662
06/26/2022 12H,7798
06/26/2022 11H,7933
06/26/2022 10H,8153
06/26/2022 09H,8359
06/26/2022 08H,8707
06/26/2022 07H,9196
06/26/2022 06H,9680
06/26/2022 05H,10211
06/26/2022 04H,10750
06/26/2022 03H,11033
06/26/2022 02H,11471
06/26/2022 01H,11932
06/26/2022 00H,11914
06/25/2022 23H,11579
06/25/2022 22H,11217
06/25/2022 21H,10866
06/25/2022 20H,10475
06/25/2022 19H,9959
06/25/2022 18H,9376
06/25/2022 17H,8733
06/25/2022 16H,8295
06/25/2022 15H,7906
06/25/2022 14H,7685
06/25/2022 13H,7642
06/25/2022 12H,7802
06/25/2022 11H,7915
06/25/2022 10H,8122
06/25/2022 09H,8460
06/25/2022 08H,8832
06/25/2022 07H,9321
06/25/2022 06H,9941
06/25/2022 05H,10448
06/25/2022 04H,11030
06/25/2022 03H,11548
06/25/2022 02H,12076
06/25/2022 01H,12637
06/25/2022 00H,12476
06/24/2022 23H,12056
06/24/2022 22H,11698
06/24/2022 21H,11073
06/24/2022 20H,10600
06/24/2022 19H,9937
06/24/2022 18H,9360
06/24/2022 17H,8798
06/24/2022 16H,8302
06/24/2022 15H,8004
06/24/2022 14H,7783
06/24/2022 13H,7805
06/24/2022 12H,7824
06/24/2022 11H,7809
06/24/2022 10H,7934
06/24/2022 09H,8306
06/24/2022 08H,8576
06/24/2022 07H,8985
06/24/2022 06H,9519
06/24/2022 05H,9974
06/24/2022 04H,10506
06/24/2022 03H,10822
06/24/2022 02H,11033
06/24/2022 01H,11283
06/24/2022 00H,12162
06/23/2022 23H,12405
06/23/2022 22H,12409
06/23/2022 21H,12081
06/23/2022 20H,11453
06/23/2022 19H,10710
06/23/2022 18H,10001
06/23/2022 17H,9333
06/23/2022 16H,8779
06/23/2022 15H,8337
06/23/2022 14H,7908
06/23/2022 13H,7699
06/23/2022 12H,7731
06/23/2022 11H,7715
06/23/2022 10H,7827
06/23/2022 09H,8061
06/23/2022 08H,8475
06/23/2022 07H,9002
06/23/2022 06H,9702
06/23/2022 05H,10426
06/23/2022 04H,11158
06/23/2022 03H,11487
06/23/2022 02H,11898
