Demand for New England (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389942&sdid=EBA.NE-ALL.D.H
12:32:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.D.H megawatthours
05/20/2022 06H,9734
05/20/2022 05H,10160
05/20/2022 04H,10784
05/20/2022 03H,11484
05/20/2022 02H,12492
05/20/2022 01H,13191
05/20/2022 00H,13280
05/19/2022 23H,13346
05/19/2022 22H,13352
05/19/2022 21H,13059
05/19/2022 20H,12898
05/19/2022 19H,12934
05/19/2022 18H,13117
05/19/2022 17H,13206
05/19/2022 16H,13199
05/19/2022 15H,13118
05/19/2022 14H,12960
05/19/2022 13H,12670
05/19/2022 12H,12200
05/19/2022 11H,11230
05/19/2022 10H,10306
05/19/2022 09H,9714
05/19/2022 08H,9489
05/19/2022 07H,9542
05/19/2022 06H,9746
05/19/2022 05H,10141
05/19/2022 04H,10528
05/19/2022 03H,11535
05/19/2022 02H,12643
05/19/2022 01H,13370
05/19/2022 00H,13306
05/18/2022 23H,13160
05/18/2022 22H,12612
05/18/2022 21H,11457
05/18/2022 20H,10580
05/18/2022 19H,10092
05/18/2022 18H,9905
05/18/2022 17H,9925
05/18/2022 16H,9910
05/18/2022 15H,9962
05/18/2022 14H,10033
05/18/2022 13H,10687
05/18/2022 12H,11255
05/18/2022 11H,10951
05/18/2022 10H,10038
05/18/2022 09H,9657
05/18/2022 08H,9424
05/18/2022 07H,9486
05/18/2022 06H,9439
05/18/2022 05H,9884
05/18/2022 04H,10606
05/18/2022 03H,11663
05/18/2022 02H,12801
05/18/2022 01H,13571
05/18/2022 00H,13637
05/17/2022 23H,13565
05/17/2022 22H,13095
05/17/2022 21H,12440
05/17/2022 20H,11987
05/17/2022 19H,11821
05/17/2022 18H,11974
05/17/2022 17H,11823
05/17/2022 16H,11121
05/17/2022 15H,10716
05/17/2022 14H,10759
05/17/2022 13H,11263
05/17/2022 12H,11684
05/17/2022 11H,11287
05/17/2022 10H,10562
05/17/2022 09H,10066
05/17/2022 08H,9940
05/17/2022 07H,10124
05/17/2022 06H,10556
05/17/2022 05H,11107
05/17/2022 04H,11648
05/17/2022 03H,12768
05/17/2022 02H,14035
05/17/2022 01H,14975
05/17/2022 00H,15310
05/16/2022 23H,15660
05/16/2022 22H,15631
05/16/2022 21H,15010
05/16/2022 20H,14315
05/16/2022 19H,14097
05/16/2022 18H,13907
05/16/2022 17H,13382
05/16/2022 16H,12726
05/16/2022 15H,12350
05/16/2022 14H,12329
05/16/2022 13H,12557
05/16/2022 12H,12523
05/16/2022 11H,11914
05/16/2022 10H,11050
05/16/2022 09H,10403
05/16/2022 08H,10192
05/16/2022 07H,10305
05/16/2022 06H,10605
05/16/2022 05H,11082
05/16/2022 04H,11598
05/16/2022 03H,12750
05/16/2022 02H,13936
05/16/2022 01H,14746
05/16/2022 00H,14922
05/15/2022 23H,14953
05/15/2022 22H,14411
05/15/2022 21H,13428
05/15/2022 20H,12623
05/15/2022 19H,12119
05/15/2022 18H,11913
05/15/2022 17H,11797
05/15/2022 16H,11622
05/15/2022 15H,11450
05/15/2022 14H,11243
