Actual Net Interchange for New England (region) to New York (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390279&sdid=EBA.NE-NY.ID.H
14:48:25 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-NY.ID.H megawatthours
05/8/2022 13H,-246
05/8/2022 12H,-374
05/8/2022 11H,-454
05/8/2022 10H,-579
05/8/2022 09H,-613
05/8/2022 08H,-591
05/8/2022 07H,-628
05/8/2022 06H,-515
05/8/2022 05H,-228
05/8/2022 04H,308
05/8/2022 03H,369
05/8/2022 02H,431
05/8/2022 01H,405
05/8/2022 00H,355
05/7/2022 23H,468
05/7/2022 22H,932
05/7/2022 21H,891
05/7/2022 20H,889
05/7/2022 19H,917
05/7/2022 18H,925
05/7/2022 17H,932
05/7/2022 16H,926
05/7/2022 15H,769
05/7/2022 14H,612
05/7/2022 13H,480
05/7/2022 12H,371
05/7/2022 11H,392
05/7/2022 10H,554
05/7/2022 09H,578
05/7/2022 08H,618
05/7/2022 07H,566
05/7/2022 06H,607
05/7/2022 05H,267
05/7/2022 04H,58
05/7/2022 03H,180
05/7/2022 02H,249
05/7/2022 01H,209
05/7/2022 00H,57
05/6/2022 23H,32
05/6/2022 22H,204
05/6/2022 21H,372
05/6/2022 20H,468
05/6/2022 19H,513
05/6/2022 18H,590
05/6/2022 17H,567
05/6/2022 16H,568
05/6/2022 15H,459
05/6/2022 14H,263
05/6/2022 13H,85
05/6/2022 12H,-17
05/6/2022 11H,-155
05/6/2022 10H,-212
05/6/2022 09H,186
05/6/2022 08H,288
05/6/2022 07H,274
05/6/2022 06H,190
05/6/2022 05H,-8
05/6/2022 04H,-77
05/6/2022 03H,15
05/6/2022 02H,-1
05/6/2022 01H,139
05/6/2022 00H,212
05/5/2022 23H,177
05/5/2022 22H,482
05/5/2022 21H,385
05/5/2022 20H,427
05/5/2022 19H,463
05/5/2022 18H,528
05/5/2022 17H,531
05/5/2022 16H,400
05/5/2022 15H,362
05/5/2022 14H,46
05/5/2022 13H,-412
05/5/2022 12H,-695
05/5/2022 11H,-635
05/5/2022 10H,-417
05/5/2022 09H,-246
05/5/2022 08H,-210
05/5/2022 07H,-78
05/5/2022 06H,-140
05/5/2022 05H,-101
05/5/2022 04H,-153
05/5/2022 03H,-33
05/5/2022 02H,-48
05/5/2022 01H,-177
05/5/2022 00H,-206
05/4/2022 23H,-71
05/4/2022 22H,74
05/4/2022 21H,45
05/4/2022 20H,114
05/4/2022 19H,-207
05/4/2022 18H,-360
05/4/2022 17H,-365
05/4/2022 16H,-530
05/4/2022 15H,-353
05/4/2022 14H,60
05/4/2022 13H,117
05/4/2022 12H,72
05/4/2022 11H,-114
05/4/2022 10H,-291
05/4/2022 09H,-93
05/4/2022 08H,-117
05/4/2022 07H,-177
05/4/2022 06H,-145
05/4/2022 05H,-62
05/4/2022 04H,-54
05/4/2022 03H,157
05/4/2022 02H,191
05/4/2022 01H,-29
05/4/2022 00H,-227
05/3/2022 23H,-190
05/3/2022 22H,5
05/3/2022 21H,252
05/3/2022 20H,188
05/3/2022 19H,-8
05/3/2022 18H,-136
05/3/2022 17H,-96
05/3/2022 16H,-441
05/3/2022 15H,-581
05/3/2022 14H,-560
05/3/2022 13H,-395
05/3/2022 12H,-253
05/3/2022 11H,-229
05/3/2022 10H,-357
05/3/2022 09H,-307
05/3/2022 08H,-347
05/3/2022 07H,-421
05/3/2022 06H,-403
05/3/2022 05H,-255
05/3/2022 04H,-51
05/3/2022 03H,119
05/3/2022 02H,-56
05/3/2022 01H,-107
05/3/2022 00H,-309
05/2/2022 23H,-222
05/2/2022 22H,83
05/2/2022 21H,46
05/2/2022 20H,-22
05/2/2022 19H,110
05/2/2022 18H,250
05/2/2022 17H,77
05/2/2022 16H,101
05/2/2022 15H,31
05/2/2022 14H,186
05/2/2022 13H,-14
05/2/2022 12H,162
05/2/2022 11H,165
05/2/2022 10H,43
05/2/2022 09H,126
05/2/2022 08H,207
05/2/2022 07H,212
05/2/2022 06H,300
05/2/2022 05H,263
05/2/2022 04H,290
05/2/2022 03H,37
05/2/2022 02H,-254
05/2/2022 01H,-325
05/2/2022 00H,-205
05/1/2022 23H,168
05/1/2022 22H,650
05/1/2022 21H,747
05/1/2022 20H,767
05/1/2022 19H,777
05/1/2022 18H,775
05/1/2022 17H,837
